Date,Temperature,Humidity,Precipitation
2023-01-01,2.5,80,5.2
2023-01-02,-1.0,85,0.0
2023-01-03,-3.5,90,10.1
2023-01-15,1.2,88,8.4
2023-01-20,-5.0,92,15.0
2023-02-01,5.5,72,1.1
2023-02-10,7.2,68,0.0
2023-02-20,4.5,82,9.2
2023-03-01,10.5,60,0.0
2023-03-10,9.5,65,4.2
2023-03-20,11.8,62,1.5
2023-04-01,16.0,55,0.0
2023-04-15,19.8,48,0.0
2023-04-25,21.0,45,0.0
2023-05-01,22.5,50,0.0
2023-05-15,25.3,44,0.0
2023-05-30,27.5,40,0.0
2023-06-01,29.0,45,0.0
2023-06-15,33.0,38,0.0
2023-06-30,34.2,36,0.0
2023-07-01,35.5,38,0.0
2023-07-15,38.5,32,0.0
2023-07-25,39.0,30,0.0
2023-08-01,32.5,65,0.0
2023-08-02,35.0,60,0.2
2023-08-15,33.2,68,3.5
2023-08-31,29.8,75,0.0
2023-09-10,23.8,75,4.1
2023-09-25,20.0,82,0.0
2023-09-30,18.5,85,8.7
2023-10-10,12.8,85,9.1
2023-10-20,10.2,90,7.8
2023-10-31,8.5,88,2.1
2023-11-10,4.2,90,11.2
2023-11-20,1.8,88,7.3
2023-11-30,-1.2,92,13.1
2023-12-01,-2.5,88,0.0
2023-12-10,-1.8,85,12.3
2023-12-25,-5.5,92,22.1
2023-12-31,0.5,80,3.3
